ligand,receptor,species,cell_sender,cell_receiver,co_exp_value,co_exp_number,co_exp_p,lr_score,rt_score,score,type,all_pair_mean,sender_receiver_pair_mean,all_pair_median,sender_receiver_pair_median,p_value
C3,ITGB2,Human,Acinar_cells,Monocytes,0.15,18.0,0.0,1.0,0.7758307197762816,0.8808125338437695,LRDB,11.898596700041667,10.687437601368472,11.521444964272863,9.89946619585124,3.079790800184536e-19
PLG,ITGB2,Human,Acinar_cells,Monocytes,0.03333333333333333,4.0,0.0,1.0,0.7758307197762816,0.8808125338437695,LRDB,11.655868043620673,9.80387604999963,11.174664797183464,9.394246878694535,7.027764459019032e-11
VASP,CXCR2,Human,Acinar_cells,Monocytes,0.06666666666666667,8.0,0.0,1.0,0.6434142611607242,0.8021310748005741,LRDB,12.059563460075903,8.937998629885623,11.440839123510537,7.4416370465592525,8.416825379897612e-42
CXCL8,CXCR2,Human,Acinar_cells,Monocytes,0.03333333333333333,4.0,0.0,1.0,0.6434142611607242,0.8021310748005741,LRDB,11.884270122322791,9.83403323579801,11.324490858821713,9.634611433926246,6.306795085851637e-08
GNAI2,CXCR2,Human,Acinar_cells,Monocytes,0.03333333333333333,4.0,0.0,1.0,0.6434142611607242,0.8021310748005741,LRDB,12.297355815655813,10.614057592200137,11.729833000328307,9.15878179397973,1.090784843404008e-08
HSP90B1,TLR4,Human,Acinar_cells,Monocytes,0.05,6.0,0.0,1.0,0.9999981670897178,0.9999990835444389,LRDB,12.901286871364851,10.553938514047614,12.466666051697143,9.659604133591897,5.149957811648966e-15
FGA,TLR4,Human,Acinar_cells,Monocytes,0.016666666666666666,2.0,0.014,0.986,0.9999981670897178,0.9929744169667524,LRDB,11.932084583495179,10.064987955571572,11.617737796502176,9.424521348198159,6.990513757929254e-06
HMGB1,TLR4,Human,Acinar_cells,Monocytes,0.025,3.0,0.01,0.99,0.9999981670897178,0.99498652524485,LRDB,12.950568527238557,10.642825412469197,12.542070676660554,10.818796015685985,7.366688086446325e-08
HSPA1A,TLR4,Human,Acinar_cells,Monocytes,0.025,3.0,0.002,0.998,0.9999981670897178,0.9989985839607273,LRDB,13.356406204698475,10.642825412469197,12.902081648152507,10.818796015685985,7.280200469545773e-10
ADM2,GPR84,Human,Acinar_cells,Monocytes,0.041666666666666664,5.0,0.0,1.0,0.6760399976782338,0.8222165150848247,LRDB,13.506829350711046,10.231743876876173,13.117019465773772,10.097846913708974,7.456188116619555e-30
POMC,GPR84,Human,Acinar_cells,Monocytes,0.008333333333333333,1.0,0.021,0.979,0.6760399976782338,0.8135374347422439,LRDB,13.04530940502066,10.189623097772639,12.784722303772904,10.274917702327715,1.0837747639328048e-07
IL18,IL18RAP,Human,Acinar_cells,Monocytes,0.016666666666666666,2.0,0.001,0.999,0.999988905954147,0.9994943306733625,LRDB,12.13703364264229,10.937176102874004,11.699225738169138,10.417944421964435,0.0034327204533854748
GRN,TNFRSF1B,Human,Endothelial_cells,Monocytes,0.4,6.0,0.0,1.0,0.7143624294910559,0.8451996388375091,LRDB,12.51490401082482,11.254650988783759,12.164943201713417,13.320354280122803,0.11717817763265409
MIF,CXCR2,Human,Endothelial_cells,Monocytes,0.06666666666666667,1.0,0.003,0.997,0.6459654132288536,0.8025132503511497,LRDB,11.902252378000782,12.782607608395075,11.107321197302202,15.625143492094221,0.6851074529004129
VASP,CXCR2,Human,Endothelial_cells,Monocytes,0.13333333333333333,2.0,0.0,1.0,0.6459654132288536,0.8037197354979244,LRDB,12.059563460075903,12.247010754668448,11.440839123510537,12.954023024093487,0.6606170232878731
GNAI2,CXCR2,Human,Endothelial_cells,Monocytes,0.4,6.0,0.0,1.0,0.6459654132288536,0.8037197354979244,LRDB,12.297355815655813,12.766859657718953,11.729833000328307,13.448659769750476,0.8383733328517813
MMP2,PECAM1,Human,Endothelial_cells,Monocytes,0.13333333333333333,2.0,0.0,1.0,0.7611019015009353,0.8724115436541032,LRDB,13.131640507316321,13.466723287673332,12.824043747253036,14.093448760533361,0.7618832421680014
EFNB2,PECAM1,Human,Endothelial_cells,Monocytes,0.13333333333333333,2.0,0.003,0.997,0.7611019015009353,0.8711019434006748,LRDB,13.051221660701623,10.090178607212165,12.706563863817903,13.98747883282828,0.05664379100190241
PLAT,ITGB2,Human,Endothelial_cells,Monocytes,0.13333333333333333,2.0,0.028,0.972,0.9131974661208861,0.9421400835701139,LRDB,12.142717723895098,13.745900234809795,11.733808462650895,15.646852874455867,0.9196705342413068
ICAM1,ITGB2,Human,Endothelial_cells,Monocytes,0.3333333333333333,5.0,0.0,1.0,0.9131974661208861,0.955613659446581,LRDB,12.635867844188251,12.748794021540593,12.245582589325302,13.921095681733037,0.6991393158421089
VCAM1,ITGB2,Human,Endothelial_cells,Monocytes,0.13333333333333333,2.0,0.0,1.0,0.9131974661208861,0.955613659446581,LRDB,12.1359206507504,13.745900234809795,11.849913440833653,15.646852874455867,0.9200830428353362
ICAM2,ITGB2,Human,Endothelial_cells,Monocytes,0.26666666666666666,4.0,0.0,1.0,0.9131974661208861,0.955613659446581,LRDB,12.727117871277102,12.41878236429111,12.353100167704,13.653001258485952,0.4809422401930633
ICAM1,ITGAL,Human,Endothelial_cells,Monocytes,0.13333333333333333,2.0,0.002,0.998,0.8911973595145017,0.943087994195384,LRDB,12.791413127031435,11.29598323293089,12.564450988196624,11.287427645175333,0.18411945688930165
ICAM2,ITGAL,Human,Endothelial_cells,Monocytes,0.06666666666666667,1.0,0.007,0.993,0.8911973595145017,0.9407225829105519,LRDB,13.00019966332685,12.118248040619193,12.82443952348953,13.00657338020761,0.35749425692596215
