ligand,receptor,species,cell_sender,cell_receiver,co_exp_value,co_exp_number,co_exp_p,lr_score,rt_score,score,type,all_pair_mean,sender_receiver_pair_mean,all_pair_median,sender_receiver_pair_median,p_value
IGFALS,NOTCH2,Human,Ductal_,Monocytes,0.017391304347826087,2.0,0.012,0.988,0.999999694097773,0.9939817391524856,L,11.630406139004428,9.173954889137244,11.42101498191371,8.950663502316498,1.1499047641557703e-06
TAC1,PTAFR,Human,Ductal_,Monocytes,0.034782608695652174,4.0,0.0,1.0,0.9215624744297738,0.9599804552332166,R,12.791519272172904,10.704911896662102,12.41043097483098,10.290957782957635,1.6643519708238385e-08
CCL20,PTAFR,Human,Ductal_,Monocytes,0.017391304347826087,2.0,0.047,0.953,0.9215624744297738,0.937149421454004,R,12.492281938800675,10.560033344622399,12.09011851956166,9.766840293642444,5.0057440287555545e-06
CXCL9,PTAFR,Human,Ductal_,Monocytes,0.008695652173913044,1.0,0.039,0.961,0.9215624744297738,0.9410746718125043,R,12.544751920238106,9.049169282062596,12.05359396222336,7.350133158999631,0.0009052720013515255
CCL28,PTAFR,Human,Ductal_,Monocytes,0.08695652173913043,10.0,0.0,1.0,0.9215624744297738,0.9599804552332166,R,12.09135709120651,9.350242693205752,11.70725800471416,8.862166683793587,3.121959100162773e-33
ODAM,PTAFR,Human,Ductal_,Monocytes,0.02608695652173913,3.0,0.0,1.0,0.9215624744297738,0.9599804552332166,LR,11.461848524141065,9.115800754408294,11.180344492418408,8.868887730921871,1.0309179364208931e-08
ADPGK,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.009,0.991,0.9313646480295116,0.9607197126098985,L,11.78685848042742,3.921355539774683,11.247807668730703,3.921355539774683,0.038027533074979136
CCDC3,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.003,0.997,0.9313646480295116,0.9636236579108168,L,12.016622559478067,3.921355539774683,11.37684768963734,3.921355539774683,0.036803228990153716
CREG1,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.01,0.99,0.9313646480295116,0.9602348679095216,L,11.94242202382643,7.552582619734901,11.343736349856858,8.273439319841414,0.06065808964603404
DCD,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.017,0.983,0.9313646480295116,0.9568340760095294,L,11.882355910767163,6.735222709946071,11.308951321376817,7.628898957017568,0.09264356580528199
HDGF,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.036,0.964,0.9313646480295116,0.9475418305808189,L,11.827634595289464,7.734075864257012,11.24103570031053,8.273439319841414,0.041995049948302436
MTRNR2L1,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.025,0.975,0.9313646480295116,0.9529325956376841,L,11.961328183705847,6.7004269359337645,11.390620404048361,7.628898957017568,0.029117945017857184
MTRNR2L6,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.014,0.986,0.9313646480295116,0.958293036057916,L,11.846510733370314,3.921355539774683,11.285887431817713,3.921355539774683,0.03760507843724211
MTRNR2L7,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.006,0.994,0.9313646480295116,0.9621727808150335,L,12.294452107854758,3.921355539774683,11.740699858217164,3.921355539774683,0.035558743676717366
NBL1,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.023,0.977,0.9313646480295116,0.9539094617021223,L,11.860548918723207,4.321199908585082,11.273606993324961,5.120888646205878,0.015098727864508357
NENF,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.012,0.988,0.9313646480295116,0.9592644433383098,L,11.817298658572245,3.921355539774683,11.252700674282115,3.921355539774683,0.03754510763692106
RNASET2,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.021,0.979,0.9313646480295116,0.9548853284143033,L,12.022553244366097,3.921355539774683,11.429251396629919,3.921355539774683,0.036387753215116725
YBX1,VIPR1,Human,Tuft_cells,Monocytes,0.14285714285714285,1.0,0.022,0.978,0.9313646480295116,0.9543975197855777,L,12.041313262284213,5.309259761399164,11.45175938135179,6.374893801611723,0.012259706277963326
ODAM,GPR84,Human,Cancer_clone_A,Monocytes,0.02702702702702703,1.0,0.001,0.999,0.8340467499413227,0.9128048549341646,L,12.502297829805805,6.818400855658564,12.280058101579733,7.577472676849916,0.00046082233146834886
ADA2,RAMP3,Human,Monocytes,Endothelial_cells,0.1875,3.0,0.0,1.0,0.9841329564139886,0.9920347556482023,L,12.300754104536322,11.905973985058981,11.969987025585478,12.66127682739664,0.41592078939916743
ADPGK,RAMP3,Human,Monocytes,Endothelial_cells,0.1875,3.0,0.0,1.0,0.9841329564139886,0.9920347556482023,L,12.576533489577152,12.91920053584962,12.228537202839117,13.061483850908507,0.6908905374439815
CST2,RAMP3,Human,Monocytes,Endothelial_cells,0.0625,1.0,0.032,0.968,0.9841329564139886,0.9760331458555805,L,13.134155345525366,15.097630136065874,12.8949295104673,17.784667449024795,0.952423846549121
RNASET2,RAMP3,Human,Monocytes,Endothelial_cells,0.25,4.0,0.0,1.0,0.9841329564139886,0.9920347556482023,L,13.075601224102096,12.716585242252814,12.874887695795287,13.061483850908507,0.4244344245386472
SRGN,RAMP3,Human,Monocytes,Endothelial_cells,0.8125,13.0,0.0,1.0,0.9841329564139886,0.9920347556482023,L,12.543396159777567,13.1422765574857,12.204427458170038,13.77709900388363,0.9472990131229602
SDCBP,FGFR1,Human,Monocytes,Endothelial_cells,0.25,4.0,0.017,0.983,0.8483010247839902,0.9131702510280667,L,11.910949602373533,12.471408804544337,11.375283605172015,13.279011041367404,0.859745184215453
SDCBP,EPHB4,Human,Monocytes,Endothelial_cells,0.3125,5.0,0.003,0.997,0.712934423662947,0.8430869589739591,L,11.97822304935197,12.859571337190715,11.536920087642716,13.320354280122803,0.9403015854580594
ADPGK,RAMP3,Human,Acinar_cells,Endothelial_cells,0.044715447154471545,22.0,0.0,1.0,0.9972245435855608,0.9986113075594332,L,12.576533489577152,11.166285697099159,12.228537202839117,10.745879994836024,3.881664862442667e-87
CHGB,RAMP3,Human,Acinar_cells,Endothelial_cells,0.044715447154471545,22.0,0.0,1.0,0.9972245435855608,0.9986113075594332,L,11.986839184006923,11.166285697099159,11.528306674053043,10.745879994836024,5.582990063990746e-23
CLPSL1,RAMP3,Human,Acinar_cells,Endothelial_cells,0.08130081300813008,40.0,0.0,1.0,0.9972245435855608,0.9986113075594332,L,12.732562326628715,11.774869253246754,12.501618117486764,11.602576746110522,1.519286789592706e-48
RNASET2,RAMP3,Human,Acinar_cells,Endothelial_cells,0.034552845528455285,17.0,0.0,1.0,0.9972245435855608,0.9986113075594332,L,13.075601224102096,11.93376354894894,12.874887695795287,11.955739143690677,4.5393029596257445e-54
SCGB2A2,RAMP3,Human,Acinar_cells,Endothelial_cells,0.044715447154471545,22.0,0.0,1.0,0.9972245435855608,0.9986113075594332,L,12.524554612539337,11.166285697099159,12.163398650476118,10.745879994836024,3.1682064169264073e-69
CRYAB,FGFR1,Human,Acinar_cells,Endothelial_cells,0.032520325203252036,16.0,0.0,1.0,0.9999987337347827,0.9999993668671909,L,11.78402170220763,10.835373614211987,11.332634601200663,10.18805327090177,7.161638012620858e-36
DEAF1,FGFR1,Human,Acinar_cells,Endothelial_cells,0.04065040650406504,20.0,0.0,1.0,0.9999987337347827,0.9999993668671909,L,11.898234713944586,10.791379288250736,11.362880752383845,10.56684329850824,9.519569116637828e-39
ENOX1,FGFR1,Human,Acinar_cells,Endothelial_cells,0.018292682926829267,9.0,0.001,0.999,0.9999987337347827,0.9994992421212974,L,12.036193035552945,10.518531844831,11.49637528486423,10.309818576702023,4.319979149848614e-33
IGFBP2,FGFR1,Human,Acinar_cells,Endothelial_cells,0.09146341463414634,45.0,0.0,1.0,0.9999987337347827,0.9999993668671909,L,11.680560958293611,12.04320620806156,11.11334728305101,11.857789657626347,1.0
PDZD11,FGFR1,Human,Acinar_cells,Endothelial_cells,0.018292682926829267,9.0,0.024,0.976,0.9999987337347827,0.987926497329203,L,11.86370116098592,10.518531844831,11.40962664239235,10.309818576702023,2.0121700472156884e-28
SFRP5,FGFR1,Human,Acinar_cells,Endothelial_cells,0.028455284552845527,14.0,0.0,1.0,0.9999987337347827,0.9999993668671909,L,11.231132101834246,11.681994176355069,10.59543096310436,11.277549680907288,0.9999999999182213
C4orf48,FGFR3,Human,Acinar_cells,Endothelial_cells,0.008130081300813009,4.0,0.036,0.964,0.9999956501869084,0.9818328812889593,L,11.223637718421736,10.095016979455261,10.63820291942393,9.597999532827261,1.00861393653021e-18
CRYAB,FGFR3,Human,Acinar_cells,Endothelial_cells,0.008130081300813009,4.0,0.014,0.986,0.9999956501869084,0.9929731673536257,L,11.724067178617737,13.473874617861023,11.36874239666069,13.388292113379286,1.0
HDGF,FGFR3,Human,Acinar_cells,Endothelial_cells,0.04065040650406504,20.0,0.018,0.982,0.9999956501869084,0.9909569761011544,L,11.523128927512996,10.366134286311793,11.05752611952537,9.770795037266542,4.946530672630535e-52
IGFBP2,FGFR3,Human,Acinar_cells,Endothelial_cells,0.06910569105691057,34.0,0.0,1.0,0.9999956501869084,0.999997825091089,L,11.471617602563143,11.810013867668866,10.980716684831737,11.217527733702143,0.9999999995441713
SFRP5,FGFR3,Human,Acinar_cells,Endothelial_cells,0.01016260162601626,5.0,0.007,0.993,0.9999956501869084,0.9964916861848874,L,11.057854564032676,11.485038252246227,10.471001287177186,10.904208062754385,0.9999853977124775
