ligand,receptor,type,species
Abhd18,Vipr1,L,Mouse
Adpgk,Vipr1,L,Mouse
Aimp1,Vipr1,L,Mouse
Ambn,Vipr1,L,Mouse
Amtn,Vipr1,L,Mouse
Apoa5,Vipr1,L,Mouse
1700029I15Rik,Vipr1,L,Mouse
2300009A05Rik,Vipr1,L,Mouse
Gm525,Vipr1,L,Mouse
E130311K13Rik,Vipr1,L,Mouse
Gm94,Vipr1,L,Mouse
2300002M23Rik,Vipr1,L,Mouse
Cartpt,Vipr1,L,Mouse
Ccdc3,Vipr1,L,Mouse
Ccer2,Vipr1,L,Mouse
Cdsn,Vipr1,L,Mouse
Chga,Vipr1,L,Mouse
Chgb,Vipr1,L,Mouse
Clpsl2,Vipr1,L,Mouse
Creg1,Vipr1,L,Mouse
Creg2,Vipr1,L,Mouse
Csn1s1,Vipr1,L,Mouse
Csn2,Vipr1,L,Mouse
Csn3,Vipr1,L,Mouse
Cst11,Vipr1,L,Mouse
Cst6,Vipr1,L,Mouse
Cst8,Vipr1,L,Mouse
Cstl1,Vipr1,L,Mouse
Dand5,Vipr1,L,Mouse
Defb13,Vipr1,L,Mouse
Defb48,Vipr1,L,Mouse
Defb18,Vipr1,L,Mouse
Defb29,Vipr1,L,Mouse
Defb19,Vipr1,L,Mouse
Defb22,Vipr1,L,Mouse
Defb23,Vipr1,L,Mouse
Defb43,Vipr1,L,Mouse
Defb22,Vipr1,L,Mouse
Defb30,Vipr1,L,Mouse
Defb42,Vipr1,L,Mouse
Dkkl1,Vipr1,L,Mouse
Ecrg4,Vipr1,L,Mouse
Fgfbp3,Vipr1,L,Mouse
Ggh,Vipr1,L,Mouse
Gphb5,Vipr1,L,Mouse
Grem2,Vipr1,L,Mouse
Hamp,Vipr1,L,Mouse
Hdgf,Vipr1,L,Mouse
Ifi30,Vipr1,L,Mouse
Insl6,Vipr1,L,Mouse
Jchain,Vipr1,L,Mouse
Krtdap,Vipr1,L,Mouse
Lad1,Vipr1,L,Mouse
Lalba,Vipr1,L,Mouse
Leap2,Vipr1,L,Mouse
Ly6g5b,Vipr1,L,Mouse
Ly6k,Vipr1,L,Mouse
Lyzl1,Vipr1,L,Mouse
Lyzl1,Vipr1,L,Mouse
Lyzl6,Vipr1,L,Mouse
Mapt,Vipr1,L,Mouse
Mgp,Vipr1,L,Mouse
Nbl1,Vipr1,L,Mouse
Nenf,Vipr1,L,Mouse
Nsun2,Vipr1,L,Mouse
Odam,Vipr1,L,Mouse
Pate1,Vipr1,L,Mouse
Pate2,Vipr1,L,Mouse
Pate3,Vipr1,L,Mouse
Pate4,Vipr1,L,Mouse
Pdzd11,Vipr1,L,Mouse
Plac9,Vipr1,L,Mouse
Ppt1,Vipr1,L,Mouse
Prap1,Vipr1,L,Mouse
Prg2,Vipr1,L,Mouse
Prr27,Vipr1,L,Mouse
Scg2,Vipr1,L,Mouse
Scg3,Vipr1,L,Mouse
Scg5,Vipr1,L,Mouse
Scgb1c1,Vipr1,L,Mouse
Scgb1c1,Vipr1,L,Mouse
Scgb2a2,Vipr1,L,Mouse
Scrg1,Vipr1,L,Mouse
Sdcbp,Vipr1,L,Mouse
Sfrp4,Vipr1,L,Mouse
Smim20,Vipr1,L,Mouse
Spaca5,Vipr1,L,Mouse
Spag11b,Vipr1,L,Mouse
Spag11b,Vipr1,L,Mouse
Spink13,Vipr1,L,Mouse
Spink14,Vipr1,L,Mouse
Spink4,Vipr1,L,Mouse
Spink7,Vipr1,L,Mouse
Spink8,Vipr1,L,Mouse
