ligand,receptor,ligand_uniprot,receptor_uniprot,y,set
SPINK1,CYBB,P00995,P04839,0,train
VIP,OR6K2,P01282,Q8NGY2,0,train
COL4A1,ITGAV,P02462,P06756,1,train
AVP,SPATA13,P01185,Q96N96,0,train
NTN1,NEO1,O95631,Q92859,1,train
TF,ATP1A2,P02787,P50993,0,train
HLA-C,KIR2DL1,P10321,P43626,1,train
FBN1,ITGB6,P35555,P18564,1,train
S100B,ALCAM,P04271,Q13740,1,train
TNFSF13,FAS,O75888,P25445,1,train
IFNA13,IFNAR2,P01562,P48551,1,train
CXCL2,TMEM247,P19875,A6NEH6,0,train
ADAM9,ITGAV,Q13443,P06756,1,train
ADM2,SLC44A4,Q7Z4H4,Q53GD3,0,train
VCL,CDH19,P18206,Q9H159,0,train
INSL3,PTH1R,P51460,Q03431,1,train
CCL3,TSPAN2,P10147,O60636,0,train
THBS1,ITGA6,P07996,P23229,1,train
CLEC2A,KLRF2,Q6UVW9,D3W0D1,1,train
IAPP,NRAS,P10997,P01111,0,train
COL18A1,ATP2B3,P39060,Q16720,0,train
CCN3,RPP38-DT,P48745,Q8N326,0,train
S100A1,AGER,P23297,Q15109,1,train
TGFB1,ENG,P01137,P17813,1,train
JAG1,RGS16,P78504,O15492,0,train
DKK1,KREMEN1,O94907,Q96MU8,1,train
VEGFA,GRIN2B,P15692,Q13224,1,train
OSTN,NPR3,P61366,P17342,1,train
HBEGF,CD44,Q99075,P16070,1,train
SEMA3E,LRP1,O15041,Q07954,0,train
ADAM15,ITGB1,Q13444,P05556,1,train
CALCA,KCTD8,P01258,Q6ZWB6,0,train
LIPH,LPAR1,Q8WWY8,Q92633,1,train
NPY,FAP,P01303,Q12884,1,train
CD40LG,ITGB2,P29965,P05107,1,train
S100A8,ITGB2,P05109,P05107,1,train
COL1A2,ITGB3,P08123,P05106,1,train
COL4A3,ITGA3,Q01955,P26006,1,train
APOB,CALCR,P04114,P30988,1,train
NRG2,ERBB2,O14511,P04626,1,train
FGA,ITGAV,P02671,P06756,1,train
COL6A2,KCT2,P12110,Q8NC54,0,train
WNT3A,FZD7,P56704,O75084,1,train
APP,TSPAN15,P05067,O95858,1,train
LIF,GDPD3,P15018,Q7L5L3,0,train
CCL21,ESAM,O00585,Q96AP7,0,train
SELPLG,SELP,Q14242,P16109,1,train
LTBP1,DNAJC16,Q14766,Q9Y2G8,0,train
FGF2,IFITM1,P09038,P13164,0,train
FGF23,FGFR4,Q9GZV9,P22455,1,train
APOD,CD46,P05090,P15529,0,train
TNC,ITGAV,P24821,P06756,1,train
CCL5,CD74,P13501,P04233,0,train
DEFB103A,CCR6,P81534,P51684,1,train
