name,gene,uniprot,location,origin,lr_type
AF-A0A075B6H7-F1-model_v4,IGKV3-7,A0A075B6H7,Secreted;Cell membrane,u,ligand
AF-A0A075B6H8-F1-model_v4,IGKV1D-42,A0A075B6H8,Secreted;Cell membrane,u,ligand
AF-A0A075B6H9-F1-model_v4,IGLV4-69,A0A075B6H9,Secreted;Cell membrane,u,ligand
AF-A0A075B6I0-F1-model_v4,IGLV8-61,A0A075B6I0,Secreted;Cell membrane,u,ligand
AF-A0A075B6I1-F1-model_v4,IGLV4-60,A0A075B6I1,Secreted;Cell membrane,u,ligand
AF-A0A075B6I3-F1-model_v4,IGLV11-55,A0A075B6I3,Secreted;Cell membrane,u,ligand
AF-A0A075B6I4-F1-model_v4,IGLV10-54,A0A075B6I4,Secreted;Cell membrane,u,ligand
AF-A0A075B6I6-F1-model_v4,IGLV1-50,A0A075B6I6,Secreted;Cell membrane,u,ligand
AF-A0A075B6I7-F1-model_v4,IGLV5-48,A0A075B6I7,Secreted;Cell membrane,u,ligand
AF-A0A075B6I9-F1-model_v4,IGLV7-46,A0A075B6I9,Secreted;Cell membrane,u,ligand
AF-A0A075B6J1-F1-model_v4,IGLV5-37,A0A075B6J1,Secreted;Cell membrane,u,ligand
AF-A0A075B6J2-F1-model_v4,IGLV2-33,A0A075B6J2,Secreted;Cell membrane,u,ligand
AF-A0A075B6J6-F1-model_v4,IGLV3-22,A0A075B6J6,Secreted;Cell membrane,u,ligand
AF-A0A075B6J9-F1-model_v4,IGLV2-18,A0A075B6J9,Secreted;Cell membrane,u,ligand
AF-A0A075B6K0-F1-model_v4,IGLV3-16,A0A075B6K0,Secreted;Cell membrane,u,ligand
AF-A0A075B6K2-F1-model_v4,IGLV3-12,A0A075B6K2,Secreted;Cell membrane,u,ligand
AF-A0A075B6K4-F1-model_v4,IGLV3-10,A0A075B6K4,Secreted;Cell membrane,u,ligand
AF-A0A075B6K5-F1-model_v4,IGLV3-9,A0A075B6K5,Secreted;Cell membrane,u,ligand
AF-A0A075B6K6-F1-model_v4,IGLV4-3,A0A075B6K6,Secreted;Cell membrane,u,ligand
AF-A0A075B6L2-F1-model_v4,TRGV11,A0A075B6L2,Cell membrane,u,receptor
AF-A0A075B6L6-F1-model_v4,TRBV7-3,A0A075B6L6,Cell membrane,u,receptor
AF-A0A075B6N1-F1-model_v4,TRBV19,A0A075B6N1,Cell membrane,u,receptor
